,TARGET
27141,0
205177,0
102400,0
272667,1
197206,0
125693,0
302273,0
215169,0
337058,0
227936,0
99289,0
84301,0
181647,0
304055,0
67426,1
325863,0
333663,0
85772,0
234223,0
107801,0
314999,0
103669,0
119760,0
156251,0
4360,0
87866,0
20942,0
97886,1
196180,0
267702,0
352764,0
171362,1
169105,0
152067,0
34943,0
215034,1
198985,0
229484,0
132208,0
57061,0
247498,1
115719,0
322404,0
107267,0
176716,0
327435,0
68576,0
266749,0
217867,0
274707,0
256387,0
54471,0
254360,0
212938,0
78495,0
52471,1
122597,0
127135,1
25289,0
84545,0
340058,0
257698,0
77015,0
181869,0
107010,0
220607,0
162743,0
194117,0
303209,0
277624,0
261056,0
163281,0
118651,0
86431,0
351480,0
239442,0
176362,1
39405,0
181819,0
146625,0
96560,0
317222,0
100414,0
191723,0
342628,0
258740,0
61778,0
18014,1
270743,0
218836,0
22795,0
249989,0
146347,0
230113,1
86412,0
93954,0
166856,0
91415,0
101979,0
355779,0
20302,0
187902,0
299265,0
66087,0
338019,0
139350,0
79308,0
188395,0
145890,0
307114,0
158398,0
33647,0
208100,1
98685,0
13781,0
347713,0
53084,0
290813,0
196794,0
48247,0
189381,1
116672,1
202027,1
33067,0
321719,0
242997,0
81703,0
72322,0
22022,0
110221,0
114526,0
184268,0
76176,0
52019,0
254384,0
51102,0
92454,0
92293,0
63795,0
147506,0
61984,0
105537,0
27564,0
296534,0
99601,0
300844,1
208531,0
26766,0
335863,0
332978,0
244325,0
56998,0
32906,0
251019,0
298999,0
320321,0
281321,0
307478,0
312014,0
292509,0
277998,1
39434,0
145288,0
264188,0
341887,0
96634,0
231515,0
137698,0
11874,0
8921,0
16526,0
270624,0
21888,1
281379,0
197634,0
316965,0
329004,0
181287,0
108169,0
11665,1
354417,0
116763,0
44489,0
278458,0
210521,0
190346,0
131646,0
52757,0
59191,0
182813,0
62739,0
216142,0
350198,0
58751,0
78494,0
330369,0
219507,1
23124,0
332132,0
73736,1
11634,0
138299,0
150963,0
129471,0
5482,0
216189,0
47436,0
308715,0
249132,1
101651,1
124234,0
277110,0
49945,0
243898,1
332482,0
330136,0
14613,0
177573,0
73395,0
190816,0
60124,0
1669,0
331887,0
44526,0
144183,0
46777,0
83107,0
335554,0
306393,0
249375,1
118491,0
293267,0
123492,0
249570,0
177588,0
206212,0
19811,0
54599,0
197966,0
295887,0
280304,0
305915,0
52530,0
321578,0
351709,0
248562,0
186230,1
39586,0
105672,1
23418,0
252484,0
79990,0
329386,0
56806,0
49517,0
159358,0
50877,0
234895,0
278602,0
27277,0
323961,0
237265,0
298087,0
320169,0
49898,0
126099,0
203525,0
219418,0
191645,0
285347,0
149697,0
331966,0
31118,0
335427,0
302451,0
68732,0
138052,0
155750,0
281752,0
81365,0
212349,0
132026,0
271898,0
17450,0
336831,0
175064,0
63741,0
304750,0
164962,0
176644,0
258263,0
54490,0
251358,1
295978,0
233579,0
270675,0
78394,1
140477,0
312417,0
290377,0
342611,0
271955,1
297697,0
321645,0
250552,0
227411,0
289027,0
324766,0
175839,0
164729,0
280849,0
172863,0
228657,0
251480,0
264679,0
325529,0
147513,1
15053,0
152577,0
28808,0
101907,0
308689,0
237834,0
66365,0
237756,0
161702,0
231272,0
313326,0
304722,0
232627,0
242460,0
329187,0
232959,0
169505,0
3931,0
58008,0
309580,0
275463,0
336777,0
151300,0
192903,0
305884,0
253501,0
199154,0
140007,0
148525,0
258771,1
327237,0
285747,0
84521,0
104963,0
179526,0
223470,0
276602,0
133388,1
88142,0
335866,0
150584,0
10556,0
291971,0
260918,0
317298,0
3187,0
9025,0
96531,0
267670,1
223074,0
188638,0
335112,0
327980,0
124741,0
331777,0
187259,0
322509,0
315939,0
205114,0
135718,0
201979,0
214235,0
233228,0
286476,0
82926,0
165483,0
25050,0
176326,0
131626,0
286179,0
207097,0
262143,0
128993,0
340430,0
155605,0
220775,0
14579,0
327916,0
345315,0
226381,0
250480,0
280871,0
48924,0
195668,0
244334,0
74531,0
220213,1
183079,0
212523,0
100091,0
196606,0
276698,0
323734,0
70441,0
281195,0
83906,0
271700,0
232333,0
120863,1
226493,0
57516,0
314648,0
206405,1
127204,0
245904,0
138713,1
307834,0
75464,0
173515,0
192826,0
79775,0
310022,0
320172,0
90542,0
142209,1
145736,0
152536,0
40418,0
200372,0
33725,0
139177,0
58084,0
333333,0
343235,0
282149,1
162990,0
64229,0
208649,0
160600,0
192218,0
287565,0
231768,0
268786,1
283548,0
172994,0
88682,0
257556,0
112536,0
270496,0
141705,0
325473,0
252347,1
85241,0
333037,0
43704,1
65118,0
104129,0
177876,0
247813,0
44916,0
99694,0
271887,0
203332,0
102707,0
244480,0
114833,0
79433,0
290606,1
148064,1
219804,0
270493,0
239875,0
246758,0
325244,0
255667,0
184452,0
118135,1
143079,0
33735,0
49351,0
23543,0
258887,0
336300,0
205789,0
104141,0
256853,0
238806,0
263645,0
67415,0
9547,0
233898,0
352563,0
73574,0
